customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Customer 1,customer1@example.com,UK,2021-09-25,Standard,9574.50
2,Customer 2,customer2@example.com,US,2020-05-17,Premium,9624.57
3,Customer 3,customer3@example.com,US,2023-05-16,Premium,6986.70
4,Customer 4,customer4@example.com,CA,2020-04-17,Standard,9159.75
5,Customer 5,customer5@example.com,IN,2021-08-10,Standard,3868.55
6,Customer 6,customer6@example.com,IN,2022-01-11,Standard,2689.46
7,Customer 7,customer7@example.com,IN,2023-07-30,Standard,1076.22
8,Customer 8,customer8@example.com,CA,2023-04-08,Standard,9151.87
9,Customer 9,customer9@example.com,DE,2021-07-05,Standard,552.58
10,Customer 10,customer10@example.com,AU,2020-06-25,Basic,1544.63
11,Customer 11,customer11@example.com,DE,2024-03-16,Basic,5833.51
12,Customer 12,customer12@example.com,FR,2021-04-24,Premium,2042.30
13,Customer 13,customer13@example.com,UK,2022-04-05,Basic,8350.29
14,Customer 14,customer14@example.com,FR,2024-03-05,Basic,9440.30
15,Customer 15,customer15@example.com,DE,2020-11-20,Standard,9668.43
16,Customer 16,customer16@example.com,CA,2023-07-03,Standard,1765.51
17,Customer 17,customer17@example.com,AU,2021-12-13,Premium,1485.59
18,Customer 18,customer18@example.com,IN,2023-06-24,Premium,9177.30
19,Customer 19,customer19@example.com,IN,2018-08-29,Basic,434.86
20,Customer 20,customer20@example.com,AU,2018-11-01,Basic,580.29
21,Customer 21,customer21@example.com,US,2022-08-17,Premium,8441.19
22,Customer 22,customer22@example.com,UK,2018-10-06,Basic,1595.19
23,Customer 23,customer23@example.com,UK,2023-09-03,Standard,3794.69
24,Customer 24,customer24@example.com,IN,2024-11-30,Standard,6626.91
25,Customer 25,customer25@example.com,US,2018-01-28,Basic,5561.27
26,Customer 26,customer26@example.com,US,2018-03-10,Basic,7249.71
27,Customer 27,customer27@example.com,IN,2021-03-20,Premium,5071.94
28,Customer 28,customer28@example.com,CA,2022-10-30,Premium,1159.46
29,Customer 29,customer29@example.com,US,2023-11-18,Premium,2485.59
30,Customer 30,customer30@example.com,IN,2023-11-27,Standard,8170.62
31,Customer 31,customer31@example.com,DE,2022-06-14,Premium,3793.21
32,Customer 32,customer32@example.com,FR,2023-02-24,Basic,2507.76
33,Customer 33,customer33@example.com,CA,2020-07-14,Standard,6872.01
34,Customer 34,customer34@example.com,AU,2018-11-27,Basic,9917.58
35,Customer 35,customer35@example.com,CA,2018-05-10,Premium,4112.26
36,Customer 36,customer36@example.com,FR,2024-03-13,Standard,655.54
37,Customer 37,customer37@example.com,US,2019-12-03,Premium,5048.60
38,Customer 38,customer38@example.com,FR,2021-09-18,Basic,9775.56
39,Customer 39,customer39@example.com,US,2023-12-04,Premium,2374.69
40,Customer 40,customer40@example.com,AU,2024-05-10,Standard,2783.84
41,Customer 41,customer41@example.com,US,2021-02-22,Basic,5678.75
42,Customer 42,customer42@example.com,US,2020-01-05,Standard,255.02
43,Customer 43,customer43@example.com,UK,2024-08-01,Premium,7547.32
44,Customer 44,customer44@example.com,CA,2022-06-20,Premium,3062.84
45,Customer 45,customer45@example.com,IN,2020-09-11,Basic,8363.04
46,Customer 46,customer46@example.com,FR,2024-01-24,Standard,3900.08
47,Customer 47,customer47@example.com,CA,2019-07-28,Basic,7269.22
48,Customer 48,customer48@example.com,IN,2021-11-17,Premium,1067.09
49,Customer 49,customer49@example.com,UK,2018-11-08,Standard,6091.17
50,Customer 50,customer50@example.com,IN,2024-09-05,Standard,9692.31
51,Customer 51,customer51@example.com,DE,2018-05-02,Basic,2805.94
52,Customer 52,customer52@example.com,FR,2023-07-03,Premium,3622.53
53,Customer 53,customer53@example.com,FR,2022-11-04,Premium,6828.98
54,Customer 54,customer54@example.com,CA,2022-04-06,Premium,7744.46
55,Customer 55,customer55@example.com,DE,2020-10-06,Basic,827.72
56,Customer 56,customer56@example.com,DE,2019-09-24,Standard,7145.60
57,Customer 57,customer57@example.com,CA,2019-09-24,Basic,3957.26
58,Customer 58,customer58@example.com,DE,2019-03-13,Premium,151.43
59,Customer 59,customer59@example.com,DE,2022-12-27,Standard,7637.33
60,Customer 60,customer60@example.com,US,2019-06-27,Premium,1955.18
61,Customer 61,customer61@example.com,FR,2024-03-31,Basic,5173.16
62,Customer 62,customer62@example.com,US,2018-04-18,Premium,3603.75
63,Customer 63,customer63@example.com,US,2024-09-11,Basic,7865.94
64,Customer 64,customer64@example.com,AU,2022-04-27,Premium,2989.29
65,Customer 65,customer65@example.com,FR,2018-12-13,Basic,9021.25
66,Customer 66,customer66@example.com,UK,2024-05-31,Basic,1778.87
67,Customer 67,customer67@example.com,FR,2019-11-26,Premium,2762.30
68,Customer 68,customer68@example.com,DE,2023-07-13,Premium,726.34
69,Customer 69,customer69@example.com,FR,2021-02-04,Standard,3067.55
70,Customer 70,customer70@example.com,AU,2018-11-12,Standard,2591.83
71,Customer 71,customer71@example.com,UK,2023-07-24,Basic,6205.02
72,Customer 72,customer72@example.com,FR,2019-03-15,Premium,3116.11
73,Customer 73,customer73@example.com,FR,2021-09-22,Basic,3860.91
74,Customer 74,customer74@example.com,AU,2021-09-11,Standard,3413.89
75,Customer 75,customer75@example.com,AU,2024-08-31,Premium,3074.31
76,Customer 76,customer76@example.com,IN,2020-04-02,Standard,3210.41
77,Customer 77,customer77@example.com,FR,2021-07-31,Standard,7375.26
78,Customer 78,customer78@example.com,CA,2023-07-05,Basic,7841.55
79,Customer 79,customer79@example.com,DE,2022-03-21,Standard,8183.30
80,Customer 80,customer80@example.com,FR,2022-02-04,Premium,9327.46
81,Customer 81,customer81@example.com,UK,2024-08-22,Basic,1881.28
82,Customer 82,customer82@example.com,AU,2024-03-03,Premium,9534.75
83,Customer 83,customer83@example.com,FR,2020-05-08,Standard,7997.09
84,Customer 84,customer84@example.com,AU,2018-10-11,Standard,6762.48
85,Customer 85,customer85@example.com,UK,2021-05-25,Premium,2601.55
86,Customer 86,customer86@example.com,UK,2022-09-30,Standard,832.25
87,Customer 87,customer87@example.com,IN,2023-05-17,Basic,4067.97
88,Customer 88,customer88@example.com,IN,2022-09-10,Basic,463.98
89,Customer 89,customer89@example.com,DE,2024-01-09,Basic,6417.99
90,Customer 90,customer90@example.com,US,2019-03-24,Premium,6610.26
91,Customer 91,customer91@example.com,DE,2019-11-13,Basic,6165.51
92,Customer 92,customer92@example.com,IN,2022-06-25,Standard,9660.60
93,Customer 93,customer93@example.com,FR,2019-03-10,Premium,1076.20
94,Customer 94,customer94@example.com,UK,2023-09-23,Basic,5236.10
95,Customer 95,customer95@example.com,IN,2024-06-14,Premium,4513.21
96,Customer 96,customer96@example.com,FR,2023-03-12,Basic,5927.04
97,Customer 97,customer97@example.com,IN,2019-09-10,Standard,9977.26
98,Customer 98,customer98@example.com,FR,2019-03-05,Standard,4218.16
99,Customer 99,customer99@example.com,US,2019-04-21,Basic,1502.58
100,Customer 100,customer100@example.com,DE,2021-11-06,Standard,7864.27
101,Customer 101,customer101@example.com,IN,2023-06-02,Standard,4814.01
102,Customer 102,customer102@example.com,FR,2023-01-28,Standard,765.03
103,Customer 103,customer103@example.com,US,2019-04-17,Premium,8506.88
104,Customer 104,customer104@example.com,CA,2019-03-24,Basic,8020.50
105,Customer 105,customer105@example.com,CA,2020-09-26,Basic,1827.09
106,Customer 106,customer106@example.com,UK,2021-09-17,Basic,4321.06
107,Customer 107,customer107@example.com,FR,2020-08-07,Standard,6334.63
108,Customer 108,customer108@example.com,UK,2022-11-06,Standard,389.00
109,Customer 109,customer109@example.com,IN,2020-03-19,Standard,5962.81
110,Customer 110,customer110@example.com,FR,2018-01-19,Basic,2226.48
111,Customer 111,customer111@example.com,DE,2018-09-14,Basic,1107.35
112,Customer 112,customer112@example.com,AU,2024-01-09,Premium,3721.35
113,Customer 113,customer113@example.com,UK,2023-02-18,Premium,2697.30
114,Customer 114,customer114@example.com,AU,2023-06-28,Basic,9662.57
115,Customer 115,customer115@example.com,DE,2024-09-11,Standard,6151.95
116,Customer 116,customer116@example.com,IN,2019-04-13,Standard,3584.65
117,Customer 117,customer117@example.com,FR,2024-12-03,Premium,8156.01
118,Customer 118,customer118@example.com,CA,2021-05-03,Basic,5942.67
119,Customer 119,customer119@example.com,CA,2019-07-03,Standard,1266.83
120,Customer 120,customer120@example.com,DE,2019-04-25,Premium,3795.73
121,Customer 121,customer121@example.com,UK,2023-09-24,Standard,4240.57
122,Customer 122,customer122@example.com,UK,2024-06-12,Standard,4288.08
123,Customer 123,customer123@example.com,FR,2024-01-11,Basic,9199.69
124,Customer 124,customer124@example.com,UK,2024-03-22,Premium,4947.46
125,Customer 125,customer125@example.com,UK,2020-02-06,Standard,8435.65
126,Customer 126,customer126@example.com,IN,2018-08-08,Standard,9523.24
127,Customer 127,customer127@example.com,FR,2019-07-14,Premium,8170.64
128,Customer 128,customer128@example.com,IN,2023-09-02,Basic,5000.20
129,Customer 129,customer129@example.com,CA,2023-07-08,Standard,7130.41
130,Customer 130,customer130@example.com,FR,2023-06-25,Premium,918.44
131,Customer 131,customer131@example.com,US,2020-06-22,Standard,423.68
132,Customer 132,customer132@example.com,UK,2024-01-12,Standard,1765.27
133,Customer 133,customer133@example.com,FR,2024-05-05,Basic,7748.22
134,Customer 134,customer134@example.com,FR,2024-03-01,Basic,1220.79
135,Customer 135,customer135@example.com,US,2021-01-02,Basic,8250.50
136,Customer 136,customer136@example.com,DE,2024-01-30,Premium,7624.04
137,Customer 137,customer137@example.com,FR,2024-02-16,Premium,9898.78
138,Customer 138,customer138@example.com,US,2020-10-10,Standard,8760.62
139,Customer 139,customer139@example.com,US,2023-01-17,Standard,3550.91
140,Customer 140,customer140@example.com,AU,2018-12-23,Standard,8666.38
141,Customer 141,customer141@example.com,US,2020-08-28,Premium,8125.96
142,Customer 142,customer142@example.com,IN,2021-12-07,Basic,6141.59
143,Customer 143,customer143@example.com,FR,2019-11-11,Basic,1478.43
144,Customer 144,customer144@example.com,UK,2020-04-27,Premium,5743.74
145,Customer 145,customer145@example.com,IN,2021-02-25,Basic,5433.81
146,Customer 146,customer146@example.com,DE,2021-04-13,Standard,5770.08
147,Customer 147,customer147@example.com,AU,2023-10-09,Basic,8170.29
148,Customer 148,customer148@example.com,UK,2022-08-13,Premium,9925.61
149,Customer 149,customer149@example.com,AU,2019-06-04,Basic,8674.18
150,Customer 150,customer150@example.com,UK,2019-08-23,Basic,3288.76
151,Customer 151,customer151@example.com,UK,2022-05-28,Standard,1507.50
152,Customer 152,customer152@example.com,CA,2021-01-05,Basic,4200.83
153,Customer 153,customer153@example.com,FR,2018-11-06,Basic,7966.53
154,Customer 154,customer154@example.com,AU,2019-01-17,Standard,5204.57
155,Customer 155,customer155@example.com,DE,2022-02-20,Standard,9507.52
156,Customer 156,customer156@example.com,DE,2024-07-11,Premium,8702.19
157,Customer 157,customer157@example.com,AU,2019-01-17,Basic,9724.29
158,Customer 158,customer158@example.com,CA,2022-01-07,Premium,7977.21
159,Customer 159,customer159@example.com,FR,2020-06-11,Standard,8265.99
160,Customer 160,customer160@example.com,FR,2021-01-04,Standard,8300.60
161,Customer 161,customer161@example.com,DE,2024-02-20,Basic,1392.88
162,Customer 162,customer162@example.com,AU,2023-06-11,Standard,8952.13
163,Customer 163,customer163@example.com,AU,2018-07-18,Premium,1085.79
164,Customer 164,customer164@example.com,AU,2023-02-26,Premium,1329.95
165,Customer 165,customer165@example.com,AU,2019-10-10,Standard,4619.53
166,Customer 166,customer166@example.com,FR,2020-04-08,Basic,9103.13
167,Customer 167,customer167@example.com,CA,2021-05-21,Premium,8756.79
168,Customer 168,customer168@example.com,DE,2019-01-18,Basic,3668.31
169,Customer 169,customer169@example.com,US,2022-03-04,Basic,9047.62
170,Customer 170,customer170@example.com,UK,2018-08-01,Standard,6293.48
171,Customer 171,customer171@example.com,CA,2020-08-17,Standard,6589.30
172,Customer 172,customer172@example.com,CA,2019-01-25,Premium,2212.87
173,Customer 173,customer173@example.com,US,2019-06-28,Basic,2339.29
174,Customer 174,customer174@example.com,CA,2022-12-28,Premium,179.82
175,Customer 175,customer175@example.com,DE,2019-05-09,Standard,6970.91
176,Customer 176,customer176@example.com,FR,2018-10-18,Premium,3892.39
177,Customer 177,customer177@example.com,CA,2019-02-24,Premium,3202.18
178,Customer 178,customer178@example.com,DE,2019-07-16,Standard,7757.26
179,Customer 179,customer179@example.com,AU,2019-06-30,Basic,9930.11
